c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
5.25,2.67,1.09,0.00016,0.000127296,12,10,7,2378078,5.50753e-05,2.53984e-11,50.037
5.18,4.98,3.05,0.00016,0.000140953,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
4.17,3.38,2.62,0.00016,0.000147438,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
5.13,5.35,2.08,0.00016,0.000114079,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
0.89,2.98,2.87,0.00016,0.000146637,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
2.12,2.38,0.2,0.00016,0.000153809,10,9,5,932476,0.000217224,1.1399e-10,43.5165
1.81,3.96,3.59,0.00016,0.000146675,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
3.01,2.23,1.43,0.00016,0.00013279,12,10,7,2378078,5.50753e-05,2.53984e-11,50.037
5,0.27,5.51,0.00016,0.000110092,13,8,9,4064901,5.17424e-05,2.07547e-11,50.9139
1.66,2.44,1.01,0.00016,0.000148773,11,9,7,1878896,6.50837e-05,3.05504e-11,49.2349
0.18,2.75,0.48,0.00016,0.000153503,8,9,6,1121739,0.000131258,9.36434e-11,44.3703
2.4,1.83,3.28,0.00016,0.000137177,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
1.54,1.12,3.2,0.00016,0.000143585,11,9,8,2770611,4.63422e-05,1.45803e-11,52.4474
2.08,2.24,0.44,0.00016,0.000137939,11,9,6,1303658,0.000111452,5.62046e-11,46.5874
1.58,2.99,3.32,0.00016,0.000158997,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
3.79,4.35,2.02,0.00016,0.000142479,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
4.37,4.26,1.78,0.00016,0.000149479,13,11,7,3010768,5.19359e-05,2.38831e-11,50.3042
1.26,0.02,1.31,0.00016,0.000108948,10,5,7,1218451,0.00036609,1.47966e-10,42.3835
2.4,0.24,1.32,0.00016,0.000128174,11,7,7,1427341,0.000116517,6.96477e-11,45.656
3.01,2.75,5.37,0.00016,0.000135384,12,10,9,4626549,2.19377e-05,4.65617e-12,57.4048
4.84,2.16,2.67,0.00016,0.000132904,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
1.72,3.6,3.39,0.00016,0.000137482,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
0.77,0.57,3.78,0.00016,0.000156021,11,8,8,2489484,5.8898e-05,2.67705e-11,49.8085
0.19,2.73,5.53,0.00016,0.000131836,9,10,9,4379977,3.42469e-05,1.6961e-11,51.7906
5.08,3.34,2.71,0.00016,0.000153046,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
3.27,5.06,2.94,0.00016,0.0001408,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
1.15,1.96,3.65,0.00016,0.00015007,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
3.41,3,0.7,0.00016,0.000144234,12,10,6,1802840,0.000106815,5.12848e-11,46.9852
5.26,0.38,1.83,0.00016,0.000154953,12,8,7,1700351,8.23999e-05,4.17013e-11,47.8836
0.39,5.25,0.26,0.00016,0.000155487,9,10,5,1268606,0.00021212,1.18457e-10,43.3495
0.98,3.11,1.46,0.00016,0.00015152,10,10,7,2191976,5.90885e-05,2.9117e-11,49.4437
5.35,4.9,1.16,0.00016,0.000155773,13,10,7,2494157,5.50753e-05,2.5161e-11,50.0778
0.99,2.9,2.65,0.00016,0.000140228,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
3.6,1.48,4.79,0.00016,0.000102539,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
0.77,0.77,4.9,0.00016,0.000104141,11,9,9,4127367,3.61627e-05,9.76564e-12,54.1881
1.5,0.03,1.72,0.00016,0.000135193,10,6,7,1255044,0.000221,1.10145e-10,43.6655
2.02,0.96,3.77,0.00016,0.00015976,11,9,8,2770611,4.63422e-05,1.45803e-11,52.4474
5.09,1.02,0.05,0.00016,0.000125504,11,8,4,613035,0.000429134,1.88423e-10,41.3338
2.92,3.48,2.6,0.00016,0.000143585,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
3.47,3.02,0.05,0.00016,0.000143051,11,9,4,894162,0.000426105,1.76101e-10,41.6275
2.52,4.22,4.26,0.00016,0.000106812,12,11,9,5143160,1.97696e-05,3.3383e-12,58.8499
4.98,4.65,3.7,0.00016,0.00015789,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
1.27,4.94,4.58,0.00016,0.000117264,11,11,9,5040578,1.72549e-05,4.23036e-12,57.8213
1.97,2.4,0.52,0.00016,0.000151749,11,9,6,1303658,0.000111452,5.62046e-11,46.5874
0.79,3.69,4.04,0.00016,0.000157471,11,11,8,3683822,3.29279e-05,9.06603e-12,54.5109
1.15,0.9,2.98,0.00016,0.000154648,11,8,8,2489484,5.8898e-05,2.67705e-11,49.8085
2.24,2.64,2.16,0.00016,0.000114746,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
3.05,0.54,3.28,0.00016,0.000144691,12,8,8,2592066,5.67993e-05,2.59912e-11,49.9369
1.84,2.76,3.61,0.00016,0.000159302,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
1.39,2.47,3.76,0.00016,0.000157738,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
0.85,4.14,1.82,0.00016,0.000125198,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
3.9,3.54,5.41,0.00016,0.000144005,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
0.91,3.67,4.05,0.00016,0.000158539,11,11,8,3683822,3.29279e-05,9.06603e-12,54.5109
0.51,2.27,2.84,0.00016,0.000129089,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
2.42,0.51,4.11,0.00016,0.000150223,12,9,8,2873193,4.38728e-05,1.37081e-11,52.7153
0.26,2.44,2.82,0.00016,0.000131226,9,10,8,3023221,4.76444e-05,2.1769e-11,50.7067
0.69,0.26,3.11,0.00016,0.000137177,10,7,8,2235536,0.000104979,5.67512e-11,46.5454
3.76,5.4,4.98,0.00016,0.000124359,13,11,9,5259239,1.78623e-05,3.11491e-12,59.1507
3.26,5.35,3.02,0.00016,0.000145416,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
3,0.36,2.36,0.00016,0.000105438,12,8,8,2592066,5.67993e-05,2.59912e-11,49.9369
0.98,2.95,3.8,0.00016,0.00014595,11,11,8,3683822,3.29279e-05,9.06603e-12,54.5109
1.97,0.46,0.49,0.00016,0.000146027,10,7,6,768583,0.000167092,9.85355e-11,44.1492
3.19,3.27,0.14,0.00016,0.00015831,11,9,5,1015996,0.000214691,1.11225e-10,43.6231
1.57,4.84,1.19,0.00016,0.000158463,11,10,7,2275496,5.58153e-05,2.62694e-11,49.8906
4.62,4.33,3.02,0.00016,0.00013401,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
3.07,3.28,1.68,0.00016,0.000113029,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
1.19,5,2.53,0.00016,0.000124435,11,11,8,3683822,3.29279e-05,9.06603e-12,54.5109
3.51,3.19,4.82,0.00016,0.000128918,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
5.26,1.33,4.32,0.00016,9.62448e-05,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
0.81,0.9,0.23,0.00016,0.000135803,9,8,5,590879,0.000228445,1.34503e-10,42.7978
3.49,1.6,5.02,0.00016,0.00010767,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
0.29,2.94,4.94,0.00016,0.000124664,10,10,9,4440447,2.7663e-05,8.38373e-12,54.8507
2.37,3.77,4.05,0.00016,9.96017e-05,12,11,9,5143160,1.97696e-05,3.3383e-12,58.8499
5.07,0.45,3.22,0.00016,0.000145073,12,8,8,2592066,5.67993e-05,2.59912e-11,49.9369
5.27,2.71,4.37,0.00016,0.000118084,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
5.08,4.87,1.66,0.00016,0.000148163,13,11,7,3010768,5.19359e-05,2.38831e-11,50.3042
2,0.42,4.79,0.00016,0.000106354,12,8,9,3948822,5.3173e-05,2.1016e-11,50.8596
5.15,3.88,1.64,0.00016,0.000139523,13,11,7,3010768,5.19359e-05,2.38831e-11,50.3042
2.51,0.99,0.22,0.00016,0.000152435,10,8,5,651349,0.000236074,1.2599e-10,43.0817
0.21,1.82,1.72,0.00016,0.00013916,9,10,7,2131506,6.72594e-05,3.77295e-11,48.3183
4.77,2.47,5.21,0.00016,0.000126286,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
3.74,2.69,5.01,0.00016,0.000124626,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
2.19,0.41,4.26,0.00016,9.8381e-05,12,8,9,3948822,5.3173e-05,2.1016e-11,50.8596
0.7,3.23,4.83,0.00016,0.000128326,11,10,9,4523967,2.04951e-05,5.51286e-12,56.6713
1.54,1.84,2.06,0.00016,0.000102692,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
2.69,1.13,2.66,0.00016,0.000125923,12,9,8,2873193,4.38728e-05,1.37081e-11,52.7153
4.23,4.07,1.2,0.00016,0.000151482,12,10,7,2378078,5.50753e-05,2.53984e-11,50.037
3.92,3.18,3.03,0.00016,0.000155945,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
4.8,4.83,3.57,0.00016,0.000154953,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
3.65,0.21,3.97,0.00016,0.000147896,12,8,8,2592066,5.67993e-05,2.59912e-11,49.9369
4.4,2.27,3.93,0.00016,0.000102997,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
0.46,0.31,5.53,0.00016,0.000110321,10,8,9,3762720,5.7719e-05,2.47643e-11,50.1469
2.6,2.54,1.28,0.00016,0.000136719,11,10,7,2275496,5.58153e-05,2.62694e-11,49.8906
5.24,4.6,4.38,0.00016,0.000111923,13,11,9,5259239,1.78623e-05,3.11491e-12,59.1507
0.57,3.53,3.49,0.00016,0.000142136,10,11,8,3600302,3.29798e-05,1.19561e-11,53.3092
1.28,5.23,4.76,0.00016,0.000122299,11,11,9,5040578,1.72549e-05,4.23036e-12,57.8213
5.19,3.27,3.45,0.00016,0.000140133,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
4.02,2.76,2.92,0.00016,0.000146561,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
1.5,2.1,0.48,0.00016,0.000145569,10,9,6,1220138,0.000105781,5.90873e-11,46.3702
1.3,1.8,4.22,0.00016,9.6817e-05,12,10,9,4626549,2.19377e-05,4.65617e-12,57.4048
4.98,3.36,3.43,0.00016,0.000139809,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
2.81,5.07,4.36,0.00016,0.000115929,12,11,9,5143160,1.97696e-05,3.3383e-12,58.8499
5.35,1.15,4.08,0.00016,0.000107555,13,9,9,4346028,3.42553e-05,8.6406e-12,54.7197
5.06,1.83,0.4,0.00016,0.000123978,12,9,6,1406240,0.000109545,5.53554e-11,46.6535
3.49,5.18,1.46,0.00016,0.000141945,12,11,7,2894689,5.38433e-05,2.40999e-11,50.265
1.72,0.16,2.21,0.00016,0.000100098,11,7,8,2319056,0.000108793,5.39737e-11,46.7633
0.35,4.11,4.21,0.00016,0.000100937,10,11,9,4957058,2.48431e-05,7.04169e-12,55.6083
1.78,3.4,3.81,0.00016,0.000149002,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
0.61,3.93,1.56,0.00016,0.000134506,10,11,7,2708587,5.7658e-05,2.77943e-11,49.6456
0.39,1.72,4.71,0.00016,0.000104065,10,10,9,4440447,2.7663e-05,8.38373e-12,54.8507
4.2,4.74,2.6,0.00016,0.000131531,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
1.17,1.02,5.49,0.00016,0.000123825,11,9,9,4127367,3.61627e-05,9.76564e-12,54.1881
1.2,1.58,2.24,0.00016,0.000125732,11,9,8,2770611,4.63422e-05,1.45803e-11,52.4474
2.86,5.03,5.19,0.00016,0.000128479,12,11,9,5143160,1.97696e-05,3.3383e-12,58.8499
4.52,3.57,3.04,0.00016,0.000155869,13,10,8,3385872,3.26666e-05,9.30599e-12,54.3975
1.08,2.03,3.03,0.00016,0.000131683,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
1.18,0.65,2.1,0.00016,0.000112762,11,8,8,2489484,5.8898e-05,2.67705e-11,49.8085
3.17,0.9,1.03,0.00016,0.00012989,12,8,7,1700351,8.23999e-05,4.17013e-11,47.8836
0.14,2.79,4.38,0.00016,0.000113678,9,10,9,4379977,3.42469e-05,1.6961e-11,51.7906
4.04,5.33,3.08,0.00016,0.00015007,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
3.09,2.15,2.24,0.00016,0.000112953,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
0.8,2.42,0.07,0.00016,0.000132446,9,9,4,750172,0.00042992,1.87558e-10,41.3538
0.46,0.87,5.03,0.00016,0.000110321,10,9,9,4043847,4.37921e-05,1.25311e-11,53.1052
5.54,3.32,0.97,0.00016,0.000130997,12,10,7,2378078,5.50753e-05,2.53984e-11,50.037
4.09,1.27,1.81,0.00016,0.000157032,13,9,7,2097557,6.6991e-05,2.94177e-11,49.399
1.04,1.21,3.7,0.00016,0.000157776,11,9,8,2770611,4.63422e-05,1.45803e-11,52.4474
4.12,1.11,1.28,0.00016,0.000127716,12,9,7,1981478,6.88984e-05,2.96217e-11,49.369
2.69,0.08,2.93,0.00016,0.000119705,11,7,8,2319056,0.000108793,5.39737e-11,46.7633
0.94,5.49,2.8,0.00016,0.000134506,11,11,8,3683822,3.29279e-05,9.06603e-12,54.5109
2.71,1.73,1.13,0.00016,0.000142441,11,9,7,1878896,6.50837e-05,3.05504e-11,49.2349
3.16,5.26,4.79,0.00016,0.000125275,12,11,9,5143160,1.97696e-05,3.3383e-12,58.8499
2.82,0.67,1.6,0.00016,0.000149307,12,8,7,1700351,8.23999e-05,4.17013e-11,47.8836
2.41,1.59,5.35,0.00016,0.000115089,12,10,9,4626549,2.19377e-05,4.65617e-12,57.4048
3.86,3.76,2.7,0.00016,0.000154495,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
0.13,1.76,4.11,0.00016,0.00015625,9,10,8,3023221,4.76444e-05,2.1769e-11,50.7067
4.04,0.97,4.11,0.00016,0.000100021,13,9,9,4346028,3.42553e-05,8.6406e-12,54.7197
4.63,1.53,3.14,0.00016,0.000151348,13,9,8,2989272,4.44349e-05,1.34746e-11,52.79
4.97,3.39,3.54,0.00016,0.000143375,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
3.15,1.42,5.24,0.00016,0.000135307,12,9,9,4229949,3.61627e-05,8.85127e-12,54.6151
1.54,3.49,4.85,0.00016,0.000133133,12,10,9,4626549,2.19377e-05,4.65617e-12,57.4048
3.96,0.17,1.2,0.00016,0.0001091,12,7,7,1529923,0.000120332,6.86997e-11,45.7156
0.68,2.58,3.1,0.00016,0.000144348,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
0.72,4.45,0.26,0.00016,0.000142364,10,10,5,1329076,0.000210965,1.09855e-10,43.6769
3.1,3.61,0.3,0.00016,0.000151978,11,10,5,1412596,0.000208067,1.06985e-10,43.7919
0.39,0.71,0.47,0.00016,0.00011261,9,8,6,878541,0.000135606,7.98243e-11,45.0638
1.8,0.9,3.14,0.00016,0.000137024,11,9,8,2770611,4.63422e-05,1.45803e-11,52.4474
1.75,2.8,1.98,0.00016,0.000116501,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
3.22,3.97,0.64,0.00016,0.000150986,12,10,6,1802840,0.000106815,5.12848e-11,46.9852
3.57,3.66,3.22,0.00016,0.000132999,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
3.65,0.16,0.36,0.00016,0.0001548,11,6,5,475664,0.000353794,1.86887e-10,41.3693
2.07,1.27,1.46,0.00016,0.000143662,11,9,7,1878896,6.50837e-05,3.05504e-11,49.2349
4.51,3.05,0.67,0.00016,0.000145531,12,10,6,1802840,0.000106815,5.12848e-11,46.9852
3.58,3.86,1.28,0.00016,0.000150681,12,10,7,2378078,5.50753e-05,2.53984e-11,50.037
4.33,1.42,0.89,0.00016,0.000114174,12,9,7,1981478,6.88984e-05,2.96217e-11,49.369
5.01,3.19,4.68,0.00016,0.000129642,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
0.23,2.77,1.39,0.00016,0.000134125,9,10,7,2131506,6.72594e-05,3.77295e-11,48.3183
0.96,2.72,2.86,0.00016,0.000143433,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
0.88,2.86,3.16,0.00016,0.000153503,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
5.31,0.18,1.08,0.00016,0.000108147,12,7,7,1529923,0.000120332,6.86997e-11,45.7156
1.36,1.78,0.94,0.00016,0.00012207,11,9,7,1878896,6.50837e-05,3.05504e-11,49.2349
5.21,0.2,4.52,0.00016,9.1114e-05,13,8,9,4064901,5.17424e-05,2.07547e-11,50.9139
5.54,5.31,5.48,0.00016,0.000134697,13,11,9,5259239,1.78623e-05,3.11491e-12,59.1507
1.86,4.68,0.9,0.00016,0.000140533,11,10,7,2275496,5.58153e-05,2.62694e-11,49.8906
2.39,5.01,3.59,0.00016,0.000156898,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
2.05,2.62,0.17,0.00016,0.00015274,10,9,5,932476,0.000217224,1.1399e-10,43.5165
5.28,1.65,0.45,0.00016,0.000125427,12,9,6,1406240,0.000109545,5.53554e-11,46.6535
1.67,0.57,0.64,0.00016,0.000138397,10,8,6,939011,0.000127977,7.15275e-11,45.5404
3.3,4.72,3.75,0.00016,0.000156746,13,11,8,3902483,3.10205e-05,7.96986e-12,55.0706
4.9,1.28,3.93,0.00016,0.000148811,13,10,8,3385872,3.26666e-05,9.30599e-12,54.3975
1.48,3.94,3.48,0.00016,0.000147552,11,11,8,3683822,3.29279e-05,9.06603e-12,54.5109
1.81,0.24,2.22,0.00016,9.62067e-05,11,8,8,2489484,5.8898e-05,2.67705e-11,49.8085
1.92,4.53,4.56,0.00016,0.000111465,12,11,9,5143160,1.97696e-05,3.3383e-12,58.8499
4.36,0.69,1.38,0.00016,0.000142975,12,8,7,1700351,8.23999e-05,4.17013e-11,47.8836
4.02,3.79,5.46,0.00016,0.000148811,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
1.04,3.38,1.47,0.00016,0.000157166,10,10,7,2191976,5.90885e-05,2.9117e-11,49.4437
4.27,4.02,4.46,0.00016,0.000106869,13,11,9,5259239,1.78623e-05,3.11491e-12,59.1507
2.79,4.11,5.07,0.00016,0.000119362,12,11,9,5143160,1.97696e-05,3.3383e-12,58.8499
4.55,4,4.75,0.00016,0.000111675,13,11,9,5259239,1.78623e-05,3.11491e-12,59.1507
5.33,4.51,0.86,0.00016,0.00014164,12,10,7,2378078,5.50753e-05,2.53984e-11,50.037
3.06,5.51,0.55,0.00016,0.00012085,12,11,6,2319451,0.000102622,4.99053e-11,47.1037
2.8,4.18,2.15,0.00016,0.000140076,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
1.96,1.83,2.12,0.00016,0.000128021,12,9,8,2873193,4.38728e-05,1.37081e-11,52.7153
3,0.14,1.63,0.00016,0.000139465,11,7,7,1427341,0.000116517,6.96477e-11,45.656
3.04,5.04,3.56,0.00016,0.000158691,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
5.53,0.85,2.08,0.00016,9.99641e-05,13,9,8,2989272,4.44349e-05,1.34746e-11,52.79
3.45,3.04,2.81,0.00016,0.000145302,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
3.73,5.12,2.7,0.00016,0.000135689,12,11,8,3786404,2.91132e-05,8.21608e-12,54.9385
3.64,2.94,4.82,0.00016,0.000125351,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
4.18,2.09,2,0.00016,0.000100899,13,10,8,3385872,3.26666e-05,9.30599e-12,54.3975
1.23,2.91,1.03,0.00016,0.000116653,11,10,7,2275496,5.58153e-05,2.62694e-11,49.8906
0.82,5.06,1,0.00016,0.000150757,10,10,7,2191976,5.90885e-05,2.9117e-11,49.4437
1.02,0.37,2.49,0.00016,0.000106354,11,8,8,2489484,5.8898e-05,2.67705e-11,49.8085
3.81,2.05,2.34,0.00016,0.000148506,12,9,8,2873193,4.38728e-05,1.37081e-11,52.7153
2.57,1.08,4.35,0.00016,0.000109138,12,9,9,4229949,3.61627e-05,8.85127e-12,54.6151
3.39,3.9,5.32,0.00016,0.000153618,12,10,9,4626549,2.19377e-05,4.65617e-12,57.4048
5.41,3.09,2.33,0.00016,0.000128574,13,10,8,3385872,3.26666e-05,9.30599e-12,54.3975
3.38,5.23,3.8,0.00016,0.000104332,13,11,9,5259239,1.78623e-05,3.11491e-12,59.1507
4.01,3.59,5.17,0.00016,0.000141315,13,10,9,4742628,2.05072e-05,4.4122e-12,57.6386
5.15,0.84,1.22,0.00016,0.000145378,12,8,7,1700351,8.23999e-05,4.17013e-11,47.8836
4.65,1.1,1.9,0.00016,0.000158405,13,9,7,2097557,6.6991e-05,2.94177e-11,49.399
4.19,3.65,4.32,0.00016,0.000101757,13,11,9,5259239,1.78623e-05,3.11491e-12,59.1507
0.71,1.46,1.32,0.00016,0.000135956,10,9,7,1795376,7.27131e-05,3.32926e-11,48.8616
0.52,5.15,0.52,0.00016,0.000157928,9,10,6,1556268,0.000118209,6.34507e-11,46.0608
5.24,4.67,5.48,0.00016,0.000129242,13,11,9,5259239,1.78623e-05,3.11491e-12,59.1507
0.15,4.56,1.61,0.00016,0.000137634,9,11,7,2648117,6.41573e-05,3.65196e-11,48.4599
5.36,2.12,0.98,0.00016,0.000144958,12,9,7,1981478,6.88984e-05,2.96217e-11,49.369
0.56,4.93,2.3,0.00016,0.000153961,10,10,8,3083691,3.53316e-05,1.3337e-11,52.8345
1.54,1.56,4.71,0.00016,0.000101547,12,10,9,4626549,2.19377e-05,4.65617e-12,57.4048
0.48,1.3,2.46,0.00016,0.00012207,10,9,8,2687091,4.63422e-05,1.74246e-11,51.6735
4.52,3.06,2.19,0.00016,0.000130768,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
3.91,3.17,2,0.00016,0.000124321,12,10,8,3269793,3.07593e-05,9.57279e-12,54.2747
2.95,1.92,1.16,0.00016,0.000151901,11,9,7,1878896,6.50837e-05,3.05504e-11,49.2349
4.5,3.79,2.9,0.00016,0.000154915,13,10,8,3385872,3.26666e-05,9.30599e-12,54.3975
0.19,1.39,4.98,0.00016,0.000124207,9,9,9,3983377,4.37921e-05,2.1296e-11,50.8021
3.27,3.01,0.62,0.00016,0.000134087,12,10,6,1802840,0.000106815,5.12848e-11,46.9852
2.08,0.14,4.41,0.00016,0.000159607,12,7,8,2421638,0.000106886,5.30821e-11,46.8356
1.14,1.24,2.05,0.00016,0.0001091,11,9,8,2770611,4.63422e-05,1.45803e-11,52.4474
0.64,2.56,3.82,0.00016,0.000102234,11,10,9,4523967,2.04951e-05,5.51286e-12,56.6713
1.98,2.72,0.67,0.00016,0.000138397,11,10,6,1700258,0.000106815,5.20762e-11,46.9187
2.87,0.79,1.36,0.00016,0.000153122,11,8,7,1597769,8.04925e-05,4.2537e-11,47.7974
1.11,2.79,2.95,0.00016,0.000141068,11,10,8,3167211,3.42771e-05,1.03874e-11,53.9201
