,c0,c1,c2,Requested_tolerance,estimated_error,l0,l1,l2,Total_retrieve_size,MaxErr,MSE,PSNR
53,5.26,0.38,1.83,1.4e-05,1.05071e-05,20,14,14,16306418,7.91414e-06,9.32415e-13,83.7567
54,0.18,2.75,0.48,1.4e-05,1.32561e-05,15,16,12,12776631,1.48972e-05,2.65895e-12,79.2057
55,1.97,2.4,0.52,1.4e-05,1.34516e-05,18,16,12,13250275,1.36616e-05,2.27037e-12,79.8918
56,1.84,2.76,3.61,1.4e-05,9.95636e-06,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
57,3.06,5.51,0.55,1.4e-05,1.17493e-05,19,18,12,15500387,1.36527e-05,2.21675e-12,79.9957
58,3.86,0.47,3.19,1.4e-05,1.01304e-05,20,14,15,19298991,6.81012e-06,7.9299e-13,84.4601
59,2.02,0.96,3.77,1.4e-05,1.13344e-05,19,15,15,20055262,4.4899e-06,2.52954e-13,89.4224
60,1.3,1.8,4.22,1.4e-05,1.21021e-05,18,16,15,20871778,2.68404e-06,1.15823e-13,92.8149
61,3.6,1.48,4.79,1.4e-05,1.28174e-05,19,16,15,21039555,2.58912e-06,1.10476e-13,93.0201
62,3.07,3.28,1.68,1.4e-05,1.02687e-05,19,17,14,19070046,4.01255e-06,2.10669e-13,90.2168
63,1.19,5,2.53,1.4e-05,1.26028e-05,18,18,14,19961540,3.75307e-06,2.07009e-13,90.2929
64,2.52,4.22,4.26,1.4e-05,1.27506e-05,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
65,4.84,2.16,2.67,1.4e-05,1.28222e-05,20,17,14,19243680,3.89334e-06,2.09454e-13,90.2419
66,5.15,3.88,1.64,1.4e-05,1.05703e-05,20,17,14,19243680,3.89334e-06,2.09454e-13,90.2419
67,0.79,2.7,2.91,1.4e-05,8.50201e-06,18,17,15,21894842,2.25763e-06,7.89762e-14,94.4779
68,5.18,4.98,3.05,1.4e-05,8.80957e-06,20,18,15,23295524,1.94253e-06,6.31849e-14,95.4467
69,2.08,2.24,0.44,1.4e-05,1.19781e-05,18,16,12,13250275,1.36616e-05,2.27037e-12,79.8918
70,0.51,2.27,2.84,1.4e-05,1.3485e-05,17,17,14,18739283,4.10519e-06,2.35229e-13,89.7379
71,0.98,3.11,1.46,1.4e-05,9.00269e-06,18,17,14,18902269,4.01255e-06,2.15982e-13,90.1086
72,5,0.27,5.51,1.4e-05,1.31655e-05,20,14,15,19298991,6.81012e-06,7.9299e-13,84.4601
73,0.29,2.94,4.94,1.4e-05,1.27792e-05,16,17,15,21574610,3.03287e-06,1.75371e-13,91.0133
74,2.8,3.5,2.57,1.4e-05,1.38092e-05,19,17,14,19070046,4.01255e-06,2.10669e-13,90.2168
75,3.76,5.4,4.98,1.4e-05,1.25217e-05,20,18,15,23295524,1.94253e-06,6.31849e-14,95.4467
76,3.79,4.35,2.02,1.4e-05,1.27578e-05,19,17,14,19070046,4.01255e-06,2.10669e-13,90.2168
77,0.46,0.31,5.53,1.4e-05,1.33514e-05,17,14,15,18794594,7.31261e-06,8.17125e-13,84.3299
78,2,0.42,4.79,1.4e-05,1.32942e-05,18,14,15,18957580,6.92933e-06,8.00087e-13,84.4214
79,3.17,0.9,1.03,1.4e-05,1.20473e-05,19,15,13,14568046,8.04351e-06,9.08104e-13,83.8715
80,2.86,5.03,5.19,1.4e-05,1.29795e-05,19,18,15,23121890,1.94253e-06,6.45329e-14,95.355
81,2.4,0.24,1.32,1.4e-05,1.24741e-05,19,14,13,13638141,1.02573e-05,1.44666e-12,81.8491
82,0.77,0.57,3.78,1.4e-05,1.22929e-05,17,14,15,18794594,7.31261e-06,8.17125e-13,84.3299
83,5.06,1.83,0.4,1.4e-05,1.08004e-05,19,16,12,13418052,1.36971e-05,2.26371e-12,79.9046
84,3.49,5.18,1.46,1.4e-05,8.45551e-06,20,18,14,20302951,3.63386e-06,2.00329e-13,90.4354
85,2.35,0.66,3.75,1.4e-05,1.02305e-05,19,15,15,20055262,4.4899e-06,2.52954e-13,89.4224
86,1.17,1.02,5.49,1.4e-05,1.29747e-05,18,16,15,20871778,2.68404e-06,1.15823e-13,92.8149
87,1.54,1.84,2.06,1.4e-05,1.21021e-05,18,16,14,17879205,4.37216e-06,2.53688e-13,89.4098
88,1.57,4.84,1.19,1.4e-05,1.17612e-05,19,18,13,17634674,7.02275e-06,7.18977e-13,84.8857
89,4.17,3.38,2.62,1.4e-05,1.3715e-05,20,17,14,19243680,3.89334e-06,2.09454e-13,90.2419
90,4.03,2.59,1.9,1.4e-05,1.31488e-05,19,16,14,18046982,4.37216e-06,2.47771e-13,89.5123
91,4.33,4.49,3.85,1.4e-05,1.21415e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
92,5.25,2.67,1.09,1.4e-05,1.14882e-05,20,17,13,16749037,7.23537e-06,7.27257e-13,84.8359
93,0.82,5.06,1,1.4e-05,1.3237e-05,17,17,13,16244640,6.89888e-06,7.54366e-13,84.677
94,3,0.36,2.36,1.4e-05,1.24645e-05,19,14,14,16132784,7.91414e-06,9.32788e-13,83.755
95,5.35,1.15,4.08,1.4e-05,1.28067e-05,20,15,15,20228896,4.6091e-06,2.51168e-13,89.4532
96,3.26,5.35,3.02,1.4e-05,8.69989e-06,20,18,15,23295524,1.94253e-06,6.31849e-14,95.4467
97,3.65,0.21,3.97,1.4e-05,1.16467e-05,19,13,15,18264590,1.3905e-05,2.85239e-12,78.9007
98,3.74,2.69,5.01,1.4e-05,1.2567e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
99,3.09,2.15,2.24,1.4e-05,1.33824e-05,19,16,14,18046982,4.37216e-06,2.47771e-13,89.5123
100,4.37,4.26,1.78,1.4e-05,1.13738e-05,20,17,14,19243680,3.89334e-06,2.09454e-13,90.2419
101,3.49,1.6,5.02,1.4e-05,1.34587e-05,19,16,15,21039555,2.58912e-06,1.10476e-13,93.0201
102,1.97,0.46,0.49,1.4e-05,1.19257e-05,18,14,12,11336077,1.5764e-05,2.95878e-12,78.7417
103,0.19,2.73,5.53,1.4e-05,1.3876e-05,15,17,15,21421198,3.90207e-06,4.7864e-13,86.6527
104,0.85,4.14,1.82,1.4e-05,1.17016e-05,17,17,14,18739283,4.10519e-06,2.35229e-13,89.7379
105,4.97,3.39,3.54,1.4e-05,1.05774e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
106,5.35,4.9,1.16,1.4e-05,1.18244e-05,20,18,13,17808308,7.02275e-06,7.17466e-13,84.8948
107,4.98,3.36,3.43,1.4e-05,1.03402e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
108,3.9,3.54,5.41,1.4e-05,1.24717e-05,20,18,15,23295524,1.94253e-06,6.31849e-14,95.4467
109,5.13,5.35,2.08,1.4e-05,1.36483e-05,20,17,14,19243680,3.89334e-06,2.09454e-13,90.2419
110,3.01,2.23,1.43,1.4e-05,1.0426e-05,19,16,14,18046982,4.37216e-06,2.47771e-13,89.5123
111,5.08,4.87,1.66,1.4e-05,1.15824e-05,20,17,14,19243680,3.89334e-06,2.09454e-13,90.2419
112,3.27,5.06,2.94,1.4e-05,8.41022e-06,20,18,15,23295524,1.94253e-06,6.31849e-14,95.4467
113,0.26,2.44,2.82,1.4e-05,1.35803e-05,16,17,14,18582037,4.10519e-06,3.13508e-13,88.4903
114,0.35,4.11,4.21,1.4e-05,1.26171e-05,16,17,15,21574610,3.03287e-06,1.75371e-13,91.0133
115,4.62,4.33,3.02,1.4e-05,8.37564e-06,20,18,15,23295524,1.94253e-06,6.31849e-14,95.4467
116,3.3,4.72,3.75,1.4e-05,1.24407e-05,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
117,0.39,1.72,4.71,1.4e-05,1.30081e-05,16,16,15,20551546,3.41998e-06,2.13382e-13,90.1612
118,4.98,4.65,3.7,1.4e-05,1.20854e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
119,2.69,1.13,2.66,1.4e-05,1.29437e-05,19,16,14,18046982,4.37216e-06,2.47771e-13,89.5123
120,3.51,3.19,4.82,1.4e-05,1.30725e-05,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
121,1.14,1.24,2.05,1.4e-05,1.30939e-05,18,15,14,16894912,6.07776e-06,3.93326e-13,87.5053
122,1.8,0.9,3.14,1.4e-05,9.85146e-06,19,15,15,20055262,4.4899e-06,2.52954e-13,89.4224
123,0.8,2.42,0.07,1.4e-05,1.39236e-05,17,16,9,9007622,0.000107477,7.27559e-11,64.8341
124,3.19,3.27,0.14,1.4e-05,1.127e-05,19,16,11,11733570,2.87628e-05,7.91045e-12,74.4708
125,3.01,2.75,5.37,1.4e-05,1.35827e-05,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
126,4.52,3.06,2.19,1.4e-05,1.18113e-05,20,17,14,19243680,3.89334e-06,2.09454e-13,90.2419
127,2.92,3.48,2.6,1.4e-05,1.39332e-05,19,17,14,19070046,4.01255e-06,2.10669e-13,90.2168
128,0.39,0.71,0.47,1.4e-05,1.33324e-05,16,14,12,11015845,1.58291e-05,3.06104e-12,78.5941
129,2.19,0.41,4.26,1.4e-05,1.17755e-05,19,14,15,19125357,6.83577e-06,7.93649e-13,84.4565
130,3.96,0.17,1.2,1.4e-05,1.26934e-05,19,13,13,12777374,1.72671e-05,3.50957e-12,78.0003
131,5.31,0.18,1.08,1.4e-05,1.16193e-05,20,13,13,12951008,1.73864e-05,3.50666e-12,78.0039
132,3.22,3.97,0.64,1.4e-05,9.43661e-06,19,17,13,16575403,7.19114e-06,7.28921e-13,84.826
133,1.15,1.96,3.65,1.4e-05,1.12486e-05,18,16,15,20871778,2.68404e-06,1.15823e-13,92.8149
134,4.04,5.33,3.08,1.4e-05,8.89778e-06,20,18,15,23295524,1.94253e-06,6.31849e-14,95.4467
135,1.04,1.21,3.7,1.4e-05,1.21689e-05,18,15,15,19887485,4.4899e-06,2.57122e-13,89.3514
136,2.57,1.08,4.35,1.4e-05,1.30296e-05,19,15,15,20055262,4.4899e-06,2.52954e-13,89.4224
137,5.07,0.45,3.22,1.4e-05,1.01793e-05,20,14,15,19298991,6.81012e-06,7.9299e-13,84.4601
138,0.81,0.9,0.23,1.4e-05,1.12247e-05,17,15,11,10418514,2.90001e-05,8.08293e-12,74.3771
139,2.51,0.99,0.22,1.4e-05,1.16873e-05,18,15,11,10581500,2.92385e-05,8.0593e-12,74.3898
140,1.58,2.99,3.32,1.4e-05,9.56058e-06,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
141,1.81,0.24,2.22,1.4e-05,1.29938e-05,18,13,14,15104240,1.40304e-05,2.98758e-12,78.6996
142,3.86,3.76,2.7,1.4e-05,9.1958e-06,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
143,1.67,0.57,0.64,1.4e-05,1.23382e-05,19,15,12,12433759,1.45907e-05,2.40229e-12,79.6466
144,1.5,2.1,0.48,1.4e-05,1.20449e-05,18,16,12,13250275,1.36616e-05,2.27037e-12,79.8918
145,2.05,2.62,0.17,1.4e-05,1.11628e-05,18,16,11,11565793,2.90012e-05,7.91472e-12,74.4685
146,2.24,2.64,2.16,1.4e-05,1.38092e-05,19,16,14,18046982,4.37216e-06,2.47771e-13,89.5123
147,2.71,1.73,1.13,1.4e-05,1.2567e-05,19,16,13,15552339,6.97337e-06,7.64638e-13,84.6183
148,0.69,0.26,3.11,1.4e-05,8.24451e-06,18,14,15,18957580,6.92933e-06,8.00087e-13,84.4214
149,4.4,2.27,3.93,1.4e-05,1.23501e-05,20,16,15,21213189,2.56483e-06,1.09277e-13,93.0675
150,4.09,1.27,1.81,1.4e-05,1.22368e-05,20,15,14,17236323,5.95855e-06,3.87089e-13,87.5747
151,1.39,2.47,3.76,1.4e-05,1.25456e-05,18,16,15,20871778,2.68404e-06,1.15823e-13,92.8149
152,0.57,3.53,3.49,1.4e-05,1.05667e-05,17,17,15,21731856,2.19669e-06,9.93478e-14,93.4812
153,4.5,3.79,2.9,1.4e-05,9.68218e-06,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
154,0.7,3.23,4.83,1.4e-05,1.29604e-05,17,17,15,21731856,2.19669e-06,9.93478e-14,93.4812
155,0.79,3.69,4.04,1.4e-05,1.19781e-05,17,17,15,21731856,2.19669e-06,9.93478e-14,93.4812
156,0.21,1.82,1.72,1.4e-05,1.08337e-05,15,16,14,17405561,6.1967e-06,6.46638e-13,85.3462
157,4.23,4.07,1.2,1.4e-05,1.3541e-05,20,17,13,16749037,7.23537e-06,7.27257e-13,84.8359
158,4.63,0.75,3.82,1.4e-05,1.0699e-05,20,15,15,20228896,4.6091e-06,2.51168e-13,89.4532
159,3.58,3.86,1.28,1.4e-05,1.38736e-05,20,17,13,16749037,7.23537e-06,7.27257e-13,84.8359
160,1.72,3.6,3.39,1.4e-05,1.03092e-05,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
161,4.02,2.76,2.92,1.4e-05,8.68082e-06,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
162,4.66,4.44,0.58,1.4e-05,1.36399e-05,20,17,12,14614750,1.36802e-05,2.22461e-12,79.9803
163,4.13,4.71,2.9,1.4e-05,1.38009e-05,20,18,14,20302951,3.63386e-06,2.00329e-13,90.4354
164,5.01,3.19,4.68,1.4e-05,1.25659e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
165,2.04,4.59,4.53,1.4e-05,1.3504e-05,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
166,5.54,5.31,5.48,1.4e-05,1.36447e-05,20,18,15,23295524,1.94253e-06,6.31849e-14,95.4467
167,4.36,0.69,1.38,1.4e-05,1.36805e-05,20,15,13,14741680,8.16272e-06,9.06155e-13,83.8808
168,1.98,2.72,0.67,1.4e-05,1.32895e-05,19,17,12,14441116,1.37995e-05,2.22545e-12,79.9786
169,1.2,1.58,2.24,1.4e-05,1.21307e-05,18,16,14,17879205,4.37216e-06,2.53688e-13,89.4098
170,0.08,2.65,5.37,1.4e-05,1.33801e-05,14,17,15,21272517,6.63792e-06,1.65617e-12,81.2618
171,0.98,2.95,3.8,1.4e-05,1.05286e-05,18,17,15,21894842,2.25763e-06,7.89762e-14,94.4779
172,4.48,3.82,4.78,1.4e-05,1.32942e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
173,0.46,0.87,5.03,1.4e-05,1.37901e-05,16,15,15,19567253,4.85007e-06,3.52355e-13,87.983
174,2.37,3.77,4.05,1.4e-05,1.18852e-05,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
175,0.61,3.93,1.56,1.4e-05,1.02806e-05,17,17,14,18739283,4.10519e-06,2.35229e-13,89.7379
176,2.82,0.67,1.6,1.4e-05,9.3317e-06,19,15,14,17062689,6.07776e-06,3.88588e-13,87.5579
177,0.23,2.77,1.39,1.4e-05,1.36852e-05,16,17,13,16087394,7.66798e-06,8.29106e-13,84.2667
178,1.02,0.37,2.49,1.4e-05,1.32942e-05,17,14,14,15802021,8.39098e-06,9.55708e-13,83.6496
179,4.77,2.47,5.21,1.4e-05,1.28615e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
180,5.53,0.85,2.08,1.4e-05,1.18363e-05,20,15,14,17236323,5.95855e-06,3.87089e-13,87.5747
181,1.86,4.68,0.9,1.4e-05,1.22166e-05,18,17,13,16407626,7.19114e-06,7.33337e-13,84.7998
182,4.8,4.83,3.57,1.4e-05,1.19877e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
183,0.72,4.45,0.26,1.4e-05,1.28651e-05,17,17,11,12425871,2.93254e-05,7.90219e-12,74.4753
184,3.15,1.42,5.24,1.4e-05,1.3454e-05,19,16,15,21039555,2.58912e-06,1.10476e-13,93.0201
185,3.92,3.18,3.03,1.4e-05,9.27925e-06,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
186,0.13,1.76,4.11,1.4e-05,1.1692e-05,15,16,15,20398134,4.46854e-06,5.1213e-13,86.359
187,1.78,3.4,3.81,1.4e-05,1.09339e-05,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
188,5.15,0.84,1.22,1.4e-05,1.31261e-05,20,15,13,14741680,8.16272e-06,9.06155e-13,83.8808
189,5.54,3.32,0.97,1.4e-05,1.12271e-05,20,17,13,16749037,7.23537e-06,7.27257e-13,84.8359
190,1.54,3.49,4.85,1.4e-05,1.33133e-05,18,17,15,21894842,2.25763e-06,7.89762e-14,94.4779
191,1.92,4.53,4.56,1.4e-05,1.39332e-05,18,17,15,21894842,2.25763e-06,7.89762e-14,94.4779
192,5.26,1.33,4.32,1.4e-05,1.39403e-05,20,15,15,20228896,4.6091e-06,2.51168e-13,89.4532
193,1.82,1.46,1.67,1.4e-05,9.5892e-06,19,16,14,18046982,4.37216e-06,2.47771e-13,89.5123
194,3.03,1.58,2.06,1.4e-05,1.15943e-05,19,16,14,18046982,4.37216e-06,2.47771e-13,89.5123
195,4.2,4.74,2.6,1.4e-05,1.26791e-05,20,18,14,20302951,3.63386e-06,2.00329e-13,90.4354
196,1.28,5.23,4.76,1.4e-05,1.21832e-05,18,18,15,22954113,2.06174e-06,6.95822e-14,95.0278
197,1.75,2.8,1.98,1.4e-05,1.37281e-05,18,16,14,17879205,4.37216e-06,2.53688e-13,89.4098
198,5.24,4.6,4.38,1.4e-05,1.33657e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
199,0.54,0.53,4.03,1.4e-05,1.22452e-05,17,14,15,18794594,7.31261e-06,8.17125e-13,84.3299
200,0.88,2.86,3.16,1.4e-05,9.17435e-06,18,17,15,21894842,2.25763e-06,7.89762e-14,94.4779
201,1.47,3.76,5.52,1.4e-05,1.26719e-05,19,18,15,23121890,1.94253e-06,6.45329e-14,95.355
202,1.82,5.3,3.95,1.4e-05,1.30224e-05,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
203,5.33,3.99,1.16,1.4e-05,1.3926e-05,19,17,13,16575403,7.19114e-06,7.28921e-13,84.826
204,3.54,1.94,3.52,1.4e-05,1.08361e-05,20,16,15,21213189,2.56483e-06,1.09277e-13,93.0675
205,4.52,3.57,3.04,1.4e-05,9.74178e-06,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
206,4.63,1.53,3.14,1.4e-05,9.45926e-06,20,16,15,21213189,2.56483e-06,1.09277e-13,93.0675
207,5.09,1.02,0.05,1.4e-05,1.12081e-05,19,15,9,8354092,0.000106369,7.28785e-11,64.8268
208,3.39,3.9,5.32,1.4e-05,1.24109e-05,20,18,15,23295524,1.94253e-06,6.31849e-14,95.4467
209,0.39,5.25,0.26,1.4e-05,1.36852e-05,16,17,11,12268625,2.98023e-05,7.9739e-12,74.4361
210,0.81,4.42,1.13,1.4e-05,1.36089e-05,17,17,13,16244640,6.89888e-06,7.54366e-13,84.677
211,2.08,0.14,4.41,1.4e-05,1.31798e-05,19,12,15,17486781,2.61773e-05,1.0267e-11,73.3384
212,4.3,5.2,4.63,1.4e-05,1.18232e-05,20,18,15,23295524,1.94253e-06,6.31849e-14,95.4467
213,4.04,0.97,4.11,1.4e-05,1.20211e-05,20,15,15,20228896,4.6091e-06,2.51168e-13,89.4532
214,3.38,5.23,3.8,1.4e-05,1.30415e-05,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
215,0.94,5.49,2.8,1.4e-05,1.37472e-05,18,18,14,19961540,3.75307e-06,2.07009e-13,90.2929
216,1.96,1.83,2.12,1.4e-05,1.25122e-05,18,16,14,17879205,4.37216e-06,2.53688e-13,89.4098
217,1.75,2.48,2.24,1.4e-05,1.36924e-05,19,16,14,18046982,4.37216e-06,2.47771e-13,89.5123
218,2.69,0.08,2.93,1.4e-05,8.67128e-06,19,12,15,17486781,2.61773e-05,1.0267e-11,73.3384
219,0.18,5.09,2.62,1.4e-05,1.31083e-05,15,18,14,19487896,5.54393e-06,6.01625e-13,85.6596
220,4.12,1.11,1.28,1.4e-05,1.23739e-05,20,16,13,15725973,7.09257e-06,7.63276e-13,84.626
221,4.74,3.89,2,1.4e-05,1.19042e-05,20,17,14,19243680,3.89334e-06,2.09454e-13,90.2419
222,5.21,0.2,4.52,1.4e-05,1.22941e-05,20,13,15,18438224,1.40242e-05,2.84964e-12,78.9049
223,4.54,0.42,2.45,1.4e-05,1.36328e-05,19,14,14,16132784,7.91414e-06,9.32788e-13,83.755
224,3.57,3.66,3.22,1.4e-05,1.00577e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
225,1.72,0.16,2.21,1.4e-05,1.1692e-05,18,13,14,15104240,1.40304e-05,2.98758e-12,78.6996
226,0.56,4.93,2.3,1.4e-05,1.16587e-05,17,18,14,19798554,3.83422e-06,2.25666e-13,89.9182
227,3.04,5.04,3.56,1.4e-05,1.23215e-05,19,17,15,22062619,2.13842e-06,7.42325e-14,94.7469
228,5.36,2.12,0.98,1.4e-05,1.21593e-05,20,16,13,15725973,7.09257e-06,7.63276e-13,84.626
229,4.27,4.02,4.46,1.4e-05,1.28496e-05,20,17,15,22236253,2.19802e-06,7.27314e-14,94.8356
230,0.15,4.56,1.61,1.4e-05,1.10626e-05,15,17,14,18428625,5.45155e-06,6.12289e-13,85.5833
231,0.03,2.43,0.43,1.4e-05,1.21117e-05,12,16,12,12356742,2.97779e-05,2.57663e-11,69.3423
